uncertainty;неуверенность
irritation;раздражение
bitterness;ожесточение
anger;злость
revenge;месть
emptiness;опустошенность
self-blame;самоедство
tension;напряжнность
despair;отчаяние
hopelessness;безнадежность
regret;сожаление
rejection;отверженность
confusion;смятение
envy;зависть
greed;жадность
hypocrisy;лицемерие
jealousy;ревность
cruelty;жестокость
boasting;хвастовство
overgeneralization;сверхобобщение
quickly conclusions;поспешные выводы
exaggeration;преувеличение
understatement;приуменьшение
emotional rationale;эмоциональное обоснование
awareness;осознанность
flow;поток
responsible;ответственный
reliable;надежный
